apk,lang,source,version,extension_class_refs,i18n_files,detected_multisrc
tachiyomi-th.manhwabreakup-v1.4.45.apk,th,manhwabreakup,1.4.45,10,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-th.mikudoujin-v1.4.5.apk,th,mikudoujin,1.4.5,9,,
tachiyomi-th.moodtoon-v1.4.31.apk,th,moodtoon,1.4.31,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-th.nekopost-v1.4.14.apk,th,nekopost,1.4.14,77,,
tachiyomi-th.niceoppai-v1.4.28.apk,th,niceoppai,1.4.28,10,,
tachiyomi-th.ntrmanga-v1.4.30.apk,th,ntrmanga,1.4.30,3,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-th.onemanga-v1.4.30.apk,th,onemanga,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-th.popsmanga-v1.4.31.apk,th,popsmanga,1.4.31,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-th.reapertrans-v1.4.30.apk,th,reapertrans,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-th.sodsaime-v1.4.32.apk,th,sodsaime,1.4.32,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-th.speedmanga-v1.4.30.apk,th,speedmanga,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-th.tanukimanga-v1.4.30.apk,th,tanukimanga,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-th.toomtammanga-v1.4.30.apk,th,toomtammanga,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-tr.adonisfansub-v1.4.46.apk,tr,adonisfansub,1.4.46,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.afroditscans-v1.4.30.apk,tr,afroditscans,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-tr.alucardscans-v1.4.31.apk,tr,alucardscans,1.4.31,25,,
tachiyomi-tr.anikiga-v1.4.45.apk,tr,anikiga,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.araznovel-v1.4.49.apk,tr,araznovel,1.4.49,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.arcurafansub-v1.4.30.apk,tr,arcurafansub,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-tr.armoniscans-v1.4.45.apk,tr,armoniscans,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.asemifansub-v1.4.30.apk,tr,asemifansub,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-tr.asurascanstr-v1.4.45.apk,tr,asurascanstr,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-tr.diamondfansub-v1.4.47.apk,tr,diamondfansub,1.4.47,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
